file,H_pitch_class_norm,H_chord_norm,composer_group
lstm_chopin_1.mid,0.9588,0.6332,midi_entropy_results_chopin
lstm_chopin_2.mid,0.9218,0.6276,midi_entropy_results_chopin
lstm_chopin_3.mid,0.9396,0.569,midi_entropy_results_chopin
tf_chopin_long_v1.mid,0.9235,0.7595,midi_entropy_results_chopin
tf_chopin_long_v2.mid,0.974,0.8094,midi_entropy_results_chopin
lstm_mozart_1.mid,0.796,0.5384,midi_entropy_results_mozart
lstm_mozart_2.mid,0.633,0.6843,midi_entropy_results_mozart
lstm_mozart_3.mid,0.7665,0.6282,midi_entropy_results_mozart
tf_mozart_1.mid,0.9306,0.8464,midi_entropy_results_mozart
tf_mozart_2.mid,0.8895,0.7036,midi_entropy_results_mozart
lstm_satie_1.mid,0.6411,0.528,midi_entropy_results_satie
lstm_satie_2.mid,0.6629,0.4977,midi_entropy_results_satie
tf_satie_long_v1.mid,0.6292,0.7291,midi_entropy_results_satie
tf_satie_long_v2.mid,0.6412,0.7669,midi_entropy_results_satie
lstm_bach_1.mid,0.7641,0.7121,midi_entropy_results_bach
lstm_bach_2.mid,0.6557,0.6677,midi_entropy_results_bach
lstm_bach_3.mid,0.8359,0.751,midi_entropy_results_bach
tf_bach_long_v1.mid,0.773,0.405,midi_entropy_results_bach
tf_bach_long_v2.mid,0.6757,0.4892,midi_entropy_results_bach
lstm_schubert_1.mid,0.9611,0.4774,midi_entropy_results_schubert
lstm_schubert_2.mid,0.8379,0.6302,midi_entropy_results_schubert
tf_schubert_long_v1.mid,0.6716,0.9278,midi_entropy_results_schubert
tf_schubert_long_v2.mid,0.4643,0.8515,midi_entropy_results_schubert
lstm_bartok_1.mid,0.8382,0.7118,midi_entropy_results_bartok
lstm_bartok_2.mid,0.8699,0.7741,midi_entropy_results_bartok
tf_bartok_long_v1.mid,0.9398,0.7039,midi_entropy_results_bartok
tf_bartok_long_v2.mid,0.9044,0.6006,midi_entropy_results_bartok
lstm_beethoven_1.mid,0.8623,0.6146,midi_entropy_results_beethoven
lstm_beethoven_2.mid,0.7017,0.5896,midi_entropy_results_beethoven
lstm_beethoven_3.mid,0.8232,0.4257,midi_entropy_results_beethoven
lstm_beethoven_4.mid,0.95,0.5956,midi_entropy_results_beethoven
tf_beethoven_long_v1.mid,0.9158,0.8869,midi_entropy_results_beethoven
tf_beethoven_long_v2.mid,0.8994,0.8824,midi_entropy_results_beethoven
